index,description,image,label
0,white heels,https://picsum.photos/id/21/200/300,shoes
1,denim and fleece jacket,https://picsum.photos/id/319/200/300,jacket
2,speckled dark gray sporty hoodie,https://picsum.photos/id/338/200/300,hoodie
3,white dress,https://picsum.photos/id/325/200/300,dress
4,blue patterened infinity scarf,https://picsum.photos/id/342/200/300,scarf
5,brown leather ankle boots,https://picsum.photos/id/361/200/300,shoes
6,gray sporty hoodie,https://picsum.photos/id/375/200/300,hoodie
7,black shoes,https://picsum.photos/id/389/200/300,shoes
8,red and white plaid dress with belt,https://picsum.photos/id/399/200/300,dress
9,black long sleeved shirt with white accent,https://picsum.photos/id/447/200/300,shirt
10,cream colored ribbed sweater,https://picsum.photos/id/454/200/300,sweater
11,brown hiking boots,https://picsum.photos/id/455/200/300,shoes
12,black pants,https://picsum.photos/id/473/200/300,pants
13,brown collared sweater,https://picsum.photos/id/513/200/300,sweater
14,dark brown boots with heels,https://picsum.photos/id/604/200/300,shoes
15,light blue button down shirt,https://picsum.photos/id/628/200/300,shirt
16,white short sleeve top,https://picsum.photos/id/64/200/300,shirt
17,white beach dress,https://picsum.photos/id/656/200/300,dress
18,sage green long sleeve sweater,https://picsum.photos/id/660/200/300,sweater
19,dark blue long jacket,https://picsum.photos/id/661/200/300,jacket
20,white sneakers,"https://picsum.photos/id/662/200/300
",shoes
21,tan colored jacket with hood,https://picsum.photos/id/669/200/300,jacket
22,light blue short skirt,https://picsum.photos/id/778/200/300,skirt
23,white cropped camisole,https://picsum.photos/id/777/200/300,shirt
24,deep blue raincoat,https://picsum.photos/id/786/200/300,jacket
25,white short sleeve tee,https://picsum.photos/id/804/200/300,jacket
26,white long sleeve cotton top,https://picsum.photos/id/821/200/300,shirt
27,long sleeve denim button down shirt,https://picsum.photos/id/823/200/300,shirt
28,baby blue long sleeve blouse,https://picsum.photos/id/832/200/300,shirt
29,gray midlength blazer,https://picsum.photos/id/836/200/300,jacket
30,black blazer,https://picsum.photos/id/856/200/300,jacket
31,dark brown boots,https://picsum.photos/id/858/200/300,pants
32,gray long sleeve sweater,https://picsum.photos/id/863/200/300,sweater
33,black waterproof jacket,https://picsum.photos/id/883/200/300,sweater
